Protein.Group	detect_study	detect_internal	detect_plate_qc
A6QL63	0.502702702702703	1	1
A7E2V4;A7E2V4-3;A7E2V4-4;A7E2V4-5	0.545945945945946	1	1
A7KAX9	0.378378378378378	1	0.777777777777778
A8MSI8	0.113513513513514	0.555555555555556	0.111111111111111
A9UHW6;A9UHW6-2;A9UHW6-3	0.508108108108108	1	1
B0I1T2	1	1	1
B0YJ81	0.178378378378378	0.777777777777778	0.555555555555556
B1AJZ9;B1AJZ9-4	0.0108108108108108	0	0
B2RNN3;P0C862	0.151351351351351	0.111111111111111	0.111111111111111
B2RUZ4	0.983783783783784	1	1
B7ZAQ6;B7ZAQ6-2;B7ZAQ6-3;P0CG08	0.551351351351351	1	1
B9A064	1	1	1
B9EJG8;B9EJG8-2	0.437837837837838	0.888888888888889	0.888888888888889
C0HM01	0.27027027027027	0.555555555555556	0.444444444444444
C4AMC7;Q6VEQ5	0.735135135135135	1	1
C9J7I0	0.0864864864864865	0.555555555555556	0.333333333333333
C9JJH3	0.854054054054054	1	0.888888888888889
C9JLW8	0.378378378378378	1	0.777777777777778
C9JQI7	0.227027027027027	0.555555555555556	0.444444444444444
E9PAV3	0.708108108108108	1	1
G9CGD6;G9CGD6-2	0.189189189189189	1	0.444444444444444
H3BSY2	0.983783783783784	1	1
L0R6Q1	0.65945945945946	1	1
O00116	0.854054054054054	1	1
O00139-2	0.518918918918919	1	1
O00139;O00139-4	1	1	1
O00142-6	0.616216216216216	1	1
O00151	1	1	1
O00154-4	0.85945945945946	1	1
O00159-2	0.983783783783784	1	1
O00160	0.940540540540541	1	1
O00161	1	1	1
O00165;O00165-2;O00165-5	0.167567567567568	0.888888888888889	0.666666666666667
O00170	0.821621621621622	1	1
O00175	0.540540540540541	0.333333333333333	0.444444444444444
O00178	0.945945945945946	1	1
O00182;O00182-2;O00182-3;O00182-6	0.464864864864865	0.666666666666667	0.777777777777778
O00186	0.983783783783784	1	1
O00187	1	1	1
O00187-2	0.302702702702703	0.888888888888889	0.444444444444444
O00189	0.567567567567568	1	1
O00194	1	1	1
O00203	0.983783783783784	1	1
O00214-2	0.551351351351351	1	1
O00217	0.4	1	1
O00231;O00231-2	0.978378378378378	1	1
O00232	0.956756756756757	1	1
O00233	0.913513513513514	1	1
O00244	0.697297297297297	1	1
O00257	0.113513513513514	0.666666666666667	0.444444444444444
O00258;O00258-2	0.416216216216216	1	1
O00264	1	1	1
O00267;O00267-2	0.324324324324324	1	0.333333333333333
O00291;O00291-3;O00291-4	0.124324324324324	0.888888888888889	0.333333333333333
O00299	1	1	1
O00303	0.902702702702703	1	1
O00329	0.848648648648649	1	0.888888888888889
O00330	0.475675675675676	1	0.888888888888889
O00339;O00339-2;O00339-3	0.0810810810810811	0.111111111111111	0
O00391	1	1	1
O00399	0.816216216216216	1	1
O00400	0.67027027027027	1	1
O00401	0.291891891891892	0.666666666666667	0.222222222222222
O00408-2	0.540540540540541	1	1
O00410;O00410-3	0.972972972972973	1	1
O00421;O00421-2	0.832432432432433	1	1
O00429	0.994594594594595	1	1
O00429-9	0.275675675675676	0.888888888888889	0.888888888888889
O00442	0.935135135135135	1	1
O00443	0.324324324324324	1	0.888888888888889
O00453;O00453-10;O00453-11;O00453-13;O00453-2;O00453-3;O00453-4;O00453-6	0.151351351351351	0.888888888888889	0.222222222222222
O00458;O00458-2	0.113513513513514	0.222222222222222	0.222222222222222
O00461	0.464864864864865	1	0.888888888888889
O00462	0.767567567567568	1	1
O00468-6	0.308108108108108	1	0.777777777777778
O00469-2	0.421621621621622	1	0.888888888888889
O00471	0.875675675675676	1	1
O00478;O00478-2	0.248648648648649	1	0.222222222222222
O00479	0.318918918918919	0.111111111111111	0.555555555555556
O00481	0.756756756756757	1	1
O00483	0.978378378378378	1	1
O00487	0.994594594594595	1	1
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	0.0972972972972973	0.555555555555556	0.333333333333333
O00501	0.427027027027027	1	0.777777777777778
O00505	0.891891891891892	1	1
O00506	0.102702702702703	0.777777777777778	0.666666666666667
O00507	0.178378378378378	0.666666666666667	0.333333333333333
O00522	0.589189189189189	1	1
O00533-2	0.843243243243243	1	0.666666666666667
O00534	0.783783783783784	1	1
O00555;O00555-4;O00555-6	0.167567567567568	1	0.777777777777778
O00559-2	0.286486486486487	1	1
O00560	0.945945945945946	1	1
O00562	0.427027027027027	1	0.888888888888889
O00567	0.156756756756757	0.111111111111111	0.111111111111111
O00571;O00571-2	0.951351351351351	1	1
O00584	0.227027027027027	1	0.777777777777778
O00587	0.362162162162162	1	0.444444444444444
O00592;O00592-2	0.962162162162162	1	1
O00602	0.967567567567568	1	1
O00622	0.751351351351351	0.222222222222222	0.777777777777778
O00625	0.216216216216216	1	0.333333333333333
O00628;O00628-2	0.259459459459459	1	1
O00629	0.518918918918919	1	1
O00743;O00743-2	0.854054054054054	1	1
O00746	0.264864864864865	1	0.555555555555556
O00764	0.248648648648649	1	0.333333333333333
O14498	0.92972972972973	1	1
O14521;O14521-2;O14521-4	0.102702702702703	0.444444444444444	0.555555555555556
O14523	0.924324324324324	1	1
O14526-2	0.0594594594594595	0.222222222222222	0
O14530	0.475675675675676	1	1
O14545	0.362162162162162	1	1
O14548	0.681081081081081	1	1
O14556	0.351351351351351	0	0.111111111111111
O14561	0.372972972972973	1	1
O14562	0.254054054054054	1	0.666666666666667
O14569	0.216216216216216	1	0.777777777777778
O14576;O14576-2;O14576-3;O14576-4;O14576-5	0.286486486486487	1	0.777777777777778
O14578;O14578-4	0.810810810810811	0.888888888888889	1
O14579	0.783783783783784	1	1
O14602	0.108108108108108	0.888888888888889	0.333333333333333
O14607;O14607-4;O14607-5	0.145945945945946	0.111111111111111	0.111111111111111
O14617-5	0.972972972972973	1	1
O14618	0.983783783783784	1	1
O14639-6	0.821621621621622	1	1
O14653;O14653-2	0.697297297297297	1	1
O14656	0.778378378378378	1	1
O14657	0.291891891891892	0.888888888888889	0.888888888888889
O14662-2	0.902702702702703	1	1
O14672	1	1	1
O14681	0.448648648648649	1	0.888888888888889
O14713	0.259459459459459	1	0.888888888888889
O14717	0.713513513513514	0.666666666666667	0.666666666666667
O14727;O14727-4	0.8	1	1
O14730	0.583783783783784	1	1
O14732;O14732-2	0.221621621621622	1	0.444444444444444
O14733;O14733-3;O14733-4	0.945945945945946	1	1
O14734	0.702702702702703	1	1
O14735-3	0.918918918918919	1	1
O14737	0.491891891891892	1	0.888888888888889
O14744	0.951351351351351	1	1
O14745	1	1	1
O14746-2;O14746-4	0.0972972972972973	0	0.111111111111111
O14772	0.45945945945946	1	0.888888888888889
O14773	0.92972972972973	1	1
O14775-2	0.864864864864865	1	1
O14786;O14786-2;O14786-3	0.805405405405405	1	0.777777777777778
O14787-2	0.621621621621622	1	1
O14791	1	1	1
O14795;O14795-2	0.243243243243243	1	0.666666666666667
O14817	0.259459459459459	1	0.666666666666667
O14818	0.891891891891892	1	1
O14828	0.935135135135135	1	1
O14841	0.437837837837838	1	1
O14867	0.378378378378378	0.888888888888889	0.555555555555556
O14874;O14874-2;O14874-3	0.427027027027027	1	0.888888888888889
O14879	0.405405405405405	0.666666666666667	0.444444444444444
O14880	0.6	1	1
O14893;O14893-2;O14893-3;O14893-5	0.302702702702703	1	1
O14907	0.291891891891892	1	0.444444444444444
O14908	0.524324324324324	1	1
O14920	0.810810810810811	1	1
O14933	0.643243243243243	1	1
O14949	0.816216216216216	1	1
O14950;P19105	0.972972972972973	1	1
O14960	0.994594594594595	1	1
O14964	1	1	1
O14966	0.351351351351351	1	0.888888888888889
O14972	0.518918918918919	1	1
O14974-2	0.194594594594595	1	0.777777777777778
O14974-4	0.945945945945946	1	1
O14975	0.627027027027027	1	1
O14976	0.924324324324324	1	1
O14979	0.789189189189189	1	1
O14980	0.967567567567568	1	1
O14986;O14986-2;O14986-3	0.237837837837838	1	0.444444444444444
O15013;O15013-4;O15013-5;O15013-6;O15013-7	0.378378378378378	1	0.888888888888889
O15018	0.0216216216216216	0.111111111111111	0
O15021	0.464864864864865	1	0.888888888888889
O15027;O15027-2;O15027-3;O15027-4;O15027-5	0.897297297297297	1	1
O15031	0.983783783783784	1	1
O15037	0.232432432432432	1	0.333333333333333
O15040	0.962162162162162	1	1
O15066	0.216216216216216	0.888888888888889	0.555555555555556
O15067	0.821621621621622	1	1
O15068-8	0.464864864864865	1	1
O15083	0.708108108108108	1	1
O15084-1	0.762162162162162	1	1
O15111	0.762162162162162	1	1
O15116	0.486486486486487	1	0.777777777777778
O15117-3	1	1	1
O15120	0.772972972972973	1	1
O15121	0.12972972972973	0.666666666666667	0
O15126	0.794594594594595	1	1
O15127	0.935135135135135	1	1
O15143	1	1	1
O15144	1	1	1
O15145	1	1	1
O15155	0.6	1	1
O15160	0.183783783783784	1	0.111111111111111
O15169;O15169-2	0.308108108108108	1	0.555555555555556
O15173	0.989189189189189	1	1
O15194	0.848648648648649	1	1
O15204;O15204-2	0.989189189189189	1	1
O15211	0.562162162162162	1	1
O15212	0.778378378378378	1	1
O15228	0.621621621621622	1	1
O15230	0.945945945945946	1	1
O15231-3	0.848648648648649	1	1
O15231-8	0.183783783783784	1	0.444444444444444
O15254	0.351351351351351	1	0.888888888888889
O15258	0.87027027027027	1	1
O15260-2	1	1	1
O15269	0.778378378378378	1	1
O15270	0.994594594594595	1	1
O15294	0.616216216216216	1	0.888888888888889
O15305	0.837837837837838	1	1
O15315-1	0.989189189189189	1	1
O15321;O15321-2	0.308108108108108	1	0.888888888888889
O15327	0.875675675675676	1	1
O15335	1	1	1
O15357	0.945945945945946	1	1
O15371;O15371-2;O15371-3	0.864864864864865	1	1
O15372	0.848648648648649	1	1
O15382	0.172972972972973	1	0.444444444444444
O15397	0.308108108108108	1	0.666666666666667
O15400;O15400-2	1	1	1
O15417	0.913513513513514	1	1
O15427	0.864864864864865	1	1
O15438	0.691891891891892	1	1
O15439	0.989189189189189	1	1
O15484	0.275675675675676	0.555555555555556	0.555555555555556
O15498	0.924324324324324	1	1
O15503	0.302702702702703	0.111111111111111	0.444444444444444
O15511	1	1	1
O15523;O15523-2	0.291891891891892	1	1
O15525	0.27027027027027	0.888888888888889	0.777777777777778
O15530;O15530-3	0.545945945945946	1	1
O15533-2	0.92972972972973	1	1
O15539;O15539-2	0.735135135135135	1	1
O15551	0.745945945945946	1	1
O43147;O43147-2	0.302702702702703	0.444444444444444	0.555555555555556
O43149	0.92972972972973	1	1
O43150	0.940540540540541	1	1
O43156	0.221621621621622	1	0.444444444444444
O43157	0.416216216216216	0.333333333333333	0.333333333333333
O43169	0.578378378378378	1	1
O43175	0.394594594594595	0.777777777777778	0.777777777777778
O43181	0.464864864864865	1	1
O43182;O43182-4	0.983783783783784	1	1
O43187	0.291891891891892	1	0.888888888888889
O43236-7	0.756756756756757	1	0.888888888888889
O43237	0.708108108108108	1	1
O43242	0.962162162162162	1	1
O43252	0.616216216216216	1	1
O43255	0.227027027027027	1	0.333333333333333
O43264	0.794594594594595	1	1
O43286	0.318918918918919	0.555555555555556	0.555555555555556
O43291;O43291-2	0.318918918918919	1	0.888888888888889
O43292	0.275675675675676	0.888888888888889	0.555555555555556
O43293	0.0972972972972973	0.333333333333333	0.444444444444444
O43294;O43294-2	0.994594594594595	1	1
O43299	0.172972972972973	0.666666666666667	0.444444444444444
O43304	0.735135135135135	1	1
O43306;O43306-2	0.897297297297297	1	1
O43310;O43310-2	0.497297297297297	1	1
O43312-5	0.962162162162162	1	1
O43314;O43314-2	0.718918918918919	1	1
O43318	0.724324324324324	1	1
O43318-2	0.216216216216216	0.888888888888889	0.555555555555556
O43324	0.491891891891892	1	1
O43353;O43353-2	0.410810810810811	1	0.888888888888889
O43390;O43390-2	0.913513513513514	1	1
O43396	0.85945945945946	1	1
O43399-6	0.32972972972973	0.888888888888889	0.777777777777778
O43399;O43399-5;O43399-7	0.940540540540541	1	1
O43402	0.481081081081081	1	1
O43405	0.372972972972973	1	1
O43414;O43414-2;O43414-3	0.513513513513514	1	1
O43426	0.627027027027027	1	1
O43427;O43427-2	0.821621621621622	1	1
O43432-3	0.843243243243243	1	1
O43447	0.464864864864865	1	1
O43464	0.45945945945946	1	1
O43488	1	1	1
O43491	0.87027027027027	1	1
O43493-3	0.627027027027027	1	1
O43504	0.632432432432433	1	1
O43508-2;O75888;O75888-2;O75888-4;O75888-5	0.594594594594595	1	1
O43516;O43516-3	1	1	1
O43561;O43561-2;O43561-3	0.778378378378378	1	1
O43572	0.486486486486487	1	1
O43583	0.891891891891892	1	1
O43592	0.789189189189189	1	1
O43597	0.221621621621622	1	0.777777777777778
O43598	0.275675675675676	1	0.777777777777778
O43610	0.0918918918918919	0.333333333333333	0.333333333333333
O43615	0.535135135135135	1	1
O43617	0.881081081081081	1	1
O43633	0.972972972972973	1	1
O43639	0.983783783783784	1	1
O43665	0.87027027027027	1	1
O43670;O43670-2;O43670-4	0.794594594594595	1	0.888888888888889
O43674;O43674-2	0.524324324324324	1	1
O43676	0.718918918918919	1	1
O43678	0.67027027027027	1	1
O43681	0.994594594594595	1	1
O43684;O43684-2	0.616216216216216	1	0.888888888888889
O43707	1	1	1
O43708	0.486486486486487	1	1
O43741	0.378378378378378	1	0.888888888888889
O43747	0.978378378378378	1	1
O43752	0.724324324324324	1	1
O43760-2	0.918918918918919	1	1
O43765	0.702702702702703	1	1
O43768;O43768-3	0.918918918918919	1	1
O43772	0.832432432432433	1	1
O43776	0.794594594594595	1	1
O43805	0.12972972972973	0.444444444444444	0.111111111111111
O43808	0.356756756756757	1	0.888888888888889
O43809	0.464864864864865	1	1
O43813	0.994594594594595	1	1
O43815	0.897297297297297	1	1
O43819	0.124324324324324	0.666666666666667	0.333333333333333
O43820;O43820-2	0.254054054054054	1	0.888888888888889
O43826;O43826-2	0.524324324324324	1	1
O43837	0.572972972972973	1	1
O43847-2	0.772972972972973	1	1
O43852-8	0.616216216216216	1	1
O43852;O43852-3	0.956756756756757	1	1
O43861;O43861-2	0.637837837837838	1	1
O43865	0.702702702702703	1	1
O43866	1	1	1
O43895	0.162162162162162	0.444444444444444	0
O43903	0.491891891891892	0.111111111111111	0.444444444444444
O43920	0.864864864864865	1	1
O43924	0.221621621621622	1	0.444444444444444
O43933	0.383783783783784	1	0.888888888888889
O60220	0.567567567567568	1	0.888888888888889
O60229	0.989189189189189	1	1
O60229-5	0.302702702702703	1	0.666666666666667
O60229-6	0.0864864864864865	0.222222222222222	0
O60232	0.4	1	1
O60234	1	1	1
O60237;O60237-6	0.475675675675676	0.666666666666667	0.777777777777778
O60239	0.632432432432433	1	1
O60240	0.994594594594595	0.888888888888889	1
O60256	0.994594594594595	1	1
O60262	0.945945945945946	1	1
O60266	0.951351351351351	1	1
O60268;O60268-3	0.886486486486487	1	1
O60271	0.864864864864865	1	1
O60306	1	1	1
O60313-2	0.886486486486487	1	1
O60331-3	0.908108108108108	1	1
O60333-2	0.448648648648649	1	0.666666666666667
O60346	0.989189189189189	1	1
O60423-1;O60423-3	0.0324324324324324	0	0.111111111111111
O60437	0.643243243243243	1	0.888888888888889
O60449;O60449-2;O60449-3	0.6	1	1
O60462;O60462-2;O60462-3;O60462-4;O60462-5	0.0378378378378378	0	0
O60488;O60488-2	0.967567567567568	1	1
O60493	0.978378378378378	1	1
O60496	0.940540540540541	1	1
O60499	0.248648648648649	1	0.777777777777778
O60502;O60502-4	0.497297297297297	1	0.888888888888889
O60506-3	1	1	1
O60518	0.291891891891892	1	1
O60524;O60524-4	0.637837837837838	1	1
O60547;O60547-2	0.85945945945946	1	1
O60568	0.67027027027027	1	1
O60573;O60573-2	0.367567567567568	1	0.777777777777778
O60603	0.416216216216216	0.666666666666667	0.666666666666667
O60610	1	1	1
O60613	0.475675675675676	1	1
O60637;O60637-2;O60637-3	0.972972972972973	0.666666666666667	0.888888888888889
O60645	0.924324324324324	1	1
O60664;O60664-4	0.989189189189189	1	1
O60669	0.616216216216216	1	1
O60674	0.918918918918919	1	1
O60678	0.535135135135135	1	1
O60684	0.654054054054054	1	1
O60701	0.627027027027027	1	1
O60704	0.832432432432433	1	1
O60716-3;O60716-5	0.8	1	1
O60749	0.983783783783784	1	1
O60762	0.875675675675676	1	1
O60763	0.902702702702703	1	1
O60784	0.643243243243243	1	0.888888888888889
O60814;P57053;P58876;P62807;Q5QNW6;Q5QNW6-2;Q93079;Q99877;Q99879;Q99880	1	1	1
O60825	0.227027027027027	1	0.222222222222222
O60826	0.718918918918919	1	1
O60830;O60830-2	0.227027027027027	1	0.555555555555556
O60831	0.913513513513514	1	1
O60832	0.302702702702703	0.444444444444444	0.555555555555556
O60841	0.994594594594595	1	1
O60858;O60858-3	0.47027027027027	1	1
O60869;O60869-2;O60869-3	0.427027027027027	1	0.888888888888889
O60884	0.967567567567568	1	1
O60888-3	0.545945945945946	1	0.888888888888889
O60890	0.881081081081081	1	1
O60896	0.243243243243243	0.777777777777778	0.555555555555556
O60906	0.145945945945946	0.777777777777778	0.222222222222222
O60925	0.832432432432433	1	1
O60927	0.216216216216216	1	0.666666666666667
O75027;O75027-2	0.443243243243243	1	1
O75030;O75030-12;O75030-2;O75030-3;O75030-4;O75030-5;O75030-6;O75030-7;O75030-8	0.0432432432432432	0.333333333333333	0
O75044	0.486486486486487	1	1
O75052;O75052-3	0.156756756756757	0.777777777777778	0.444444444444444
O75061-4	0.443243243243243	1	1
O75063	0.372972972972973	1	0.777777777777778
O75064	0.345945945945946	1	0.888888888888889
O75069;O75069-2;O75069-3;O75069-5	0.762162162162162	1	1
O75083	1	1	1
O75093	0.427027027027027	0.888888888888889	0.666666666666667
O75112;O75112-2;O75112-3;O75112-7	0.0918918918918919	0	0
O75113	0.383783783783784	1	0.777777777777778
O75116	0.994594594594595	1	1
O75121	0.335135135135135	1	0.666666666666667
O75122-3	0.772972972972973	1	1
O75128;O75128-2	0.156756756756757	0.888888888888889	0
O75131	1	1	1
O75140;O75140-1;O75140-4;O75140-8;O75140-9	0.0756756756756757	0.555555555555556	0
O75144;O75144-2	0.664864864864865	1	0.555555555555556
O75150;O75150-4	0.551351351351351	1	0.888888888888889
O75154;O75154-3	0.654054054054054	1	1
O75155	0.805405405405405	1	0.777777777777778
O75157;O75157-2	0.151351351351351	0.777777777777778	0.333333333333333
O75164	0.0594594594594595	0.333333333333333	0
O75165	0.972972972972973	1	1
O75167;O75167-2;O75167-4;O75167-5	0.172972972972973	0.888888888888889	0.555555555555556
O75170;O75170-3;O75170-4;O75170-5;O75170-6	0.643243243243243	1	1
O75175	0.562162162162162	1	1
O75179;O75179-2;O75179-7	0.0918918918918919	0.555555555555556	0
O75190	0.875675675675676	1	1
O75190-3	0.264864864864865	1	0.888888888888889
O75191	0.0972972972972973	0.333333333333333	0.222222222222222
O75208	0.167567567567568	0.777777777777778	0.444444444444444
O75223	0.854054054054054	1	1
O75251;O75251-2	0.486486486486487	1	0.888888888888889
O75298	0.989189189189189	1	1
O75306;O75306-2	0.578378378378378	1	1
O75312	0.513513513513514	1	1
O75317	0.540540540540541	1	1
O75323	0.681081081081081	1	1
O75324	0.556756756756757	1	1
O75326	0.918918918918919	1	1
O75340	0.994594594594595	1	1
O75347	0.854054054054054	1	1
O75348	0.827027027027027	1	1
O75351	1	1	1
O75352;O75352-2	0.821621621621622	1	1
O75354;O75354-2;O75354-3	0.291891891891892	0.888888888888889	0.222222222222222
O75356	0.772972972972973	0.777777777777778	0.888888888888889
O75365	0.410810810810811	1	0.888888888888889
O75367;O75367-1;O75367-3	0.351351351351351	0.555555555555556	0.444444444444444
O75368	0.962162162162162	1	1
O75369;O75369-2;O75369-8;O75369-9	0.751351351351351	1	1
O75376;O75376-2	0.227027027027027	1	0.555555555555556
O75380	0.627027027027027	1	1
O75381;O75381-2	0.632432432432433	1	1
O75382;O75382-4	0.410810810810811	1	0.888888888888889
O75385	0.0216216216216216	0	0
O75390	1	1	1
O75394	0.194594594594595	1	0.555555555555556
O75396	0.972972972972973	1	1
O75410;O75410-9	0.881081081081081	1	1
O75427	0.605405405405405	1	1
O75431;O75431-2	0.524324324324324	1	1
O75436	0.605405405405405	1	1
O75438	0.372972972972973	1	0.888888888888889
O75439	0.405405405405405	1	1
O75460	0.545945945945946	1	1
O75467;Q6AW86	0.340540540540541	0.222222222222222	0.111111111111111
O75477	0.72972972972973	1	1
O75478	0.237837837837838	0.555555555555556	0.444444444444444
O75489	0.524324324324324	1	1
O75493	0.237837837837838	0.111111111111111	0.222222222222222
O75503	0.302702702702703	1	0.666666666666667
O75506	0.264864864864865	1	0.888888888888889
O75521;O75521-2	0.454054054054054	1	1
O75531	0.967567567567568	1	1
O75533	0.135135135135135	0.333333333333333	0.222222222222222
O75534;O75534-2;O75534-3;O75534-4	0.805405405405405	1	1
O75558	1	1	1
O75563	1	1	1
O75569	0.205405405405405	1	0.444444444444444
O75592	0.913513513513514	1	1
O75608;O75608-2	0.962162162162162	1	1
O75636	1	1	1
O75648	0.0540540540540541	0.444444444444444	0
O75663	0.85945945945946	1	1
O75674;O75674-2;O75674-3	0.664864864864865	1	1
O75683	0.854054054054054	1	1
O75688	0.686486486486487	1	1
O75694;O75694-2	0.632432432432433	1	1
O75695	1	1	1
O75717;O75717-2	0.994594594594595	1	1
O75718	0.751351351351351	1	1
O75746	0.8	1	1
O75787;O75787-2	1	1	1
O75791	0.967567567567568	1	1
O75792	0.302702702702703	1	0.666666666666667
O75821	0.810810810810811	1	1
O75822	0.816216216216216	1	1
O75828	0.52972972972973	1	0.888888888888889
O75832	0.518918918918919	1	0.888888888888889
O75840-3	0.0486486486486487	0.111111111111111	0.111111111111111
O75843	0.648648648648649	1	1
O75844	0.924324324324324	1	1
O75874	1	1	1
O75880	0.432432432432432	1	0.888888888888889
O75882	0.989189189189189	1	1
O75886	0.994594594594595	1	1
O75915	1	1	1
O75923;O75923-10;O75923-11;O75923-12;O75923-13;O75923-14;O75923-2;O75923-3;O75923-4;O75923-5;O75923-6;O75923-7;O75923-8;O75923-9	0.254054054054054	0.111111111111111	0
O75935	0.951351351351351	1	1
O75937	0.437837837837838	1	0.777777777777778
O75947	0.967567567567568	1	1
O75954	0.810810810810811	1	1
O75955	1	1	1
O75962;O75962-4	1	1	1
O75964	0.945945945945946	1	1
O76003	0.989189189189189	1	1
O76014	0.194594594594595	0.111111111111111	0.111111111111111
O76041	0.772972972972973	1	0.777777777777778
O76062	0.0486486486486487	0.222222222222222	0
O76071	0.691891891891892	1	1
O76074	0.994594594594595	1	1
O76076	0.362162162162162	0.222222222222222	0.222222222222222
O76094	0.437837837837838	1	0.888888888888889
O76096	0.0162162162162162	1	0
O94760	0.85945945945946	1	1
O94763-2	0.156756756756757	0.888888888888889	0.222222222222222
O94766	0.545945945945946	1	1
O94769	0.12972972972973	0.222222222222222	0
O94804	0.956756756756757	1	1
O94812;O94812-2;O94812-3;O94812-5;O94812-6	1	1	1
O94817	0.264864864864865	1	0.777777777777778
O94822;O94822-3	0.783783783783784	1	1
O94826	0.956756756756757	1	1
O94829	0.335135135135135	1	0.888888888888889
O94830	0.491891891891892	1	1
